Date,Price,Open,High,Low,Change %
2010-05-01,86.59,81.84,87.46,81.83,5.77
2010-06-01,86.02,86.58,88.71,85.09,-0.66
2010-07-01,81.54,86.1,86.26,81.46,-5.21
2010-08-01,83.2,81.5,83.56,80.08,2.04
2010-09-01,78.72,83.09,83.22,78.41,-5.38
2010-10-01,77.27,78.8,78.83,76.14,-1.84
2010-11-01,81.19,76.97,81.44,75.63,5.07
2010-12-01,79.03,81.26,81.36,78.78,-2.66
2011-01-01,77.73,79.14,81.31,77.54,-1.64
2011-02-01,76.89,77.61,78.87,76.76,-1.08
2011-03-01,75.86,76.86,77.38,75.34,-1.34
2011-04-01,72.93,76.05,76.61,72.83,-3.86
2011-05-01,74.64,72.99,76.37,72.7,2.34
2011-06-01,74.3,74.43,76.02,73.51,-0.46
2011-07-01,73.9,74.45,76.72,73.42,-0.54
2011-08-01,74.12,73.81,75.42,73.45,0.3
2011-09-01,78.55,74.17,78.86,74.15,5.98
2011-10-01,76.17,79.02,79.84,74.72,-3.03
2011-11-01,78.38,76.56,79.7,76.46,2.9
2011-12-01,80.18,78.33,80.85,77.97,2.3
2012-01-01,79.29,80.28,81.78,78.74,-1.11
2012-02-01,78.74,79.32,80.12,78.09,-0.69
2012-03-01,79.0,78.77,80.74,78.63,0.33
2012-04-01,78.78,78.89,80.18,78.64,-0.28
2012-05-01,83.04,78.78,83.21,78.6,5.41
2012-06-01,81.63,83.07,83.54,81.19,-1.71
2012-07-01,82.64,81.56,84.1,81.53,1.23
2012-08-01,81.21,82.7,83.51,80.96,-1.72
2012-09-01,79.93,81.29,81.67,78.6,-1.57
2012-10-01,79.92,79.95,80.32,78.93,-0.02
2012-11-01,80.15,79.95,81.46,79.86,0.29
2012-12-01,79.77,80.24,80.66,79.01,-0.48
2013-01-01,79.21,79.69,80.87,79.13,-0.7
